date,symbol,side,qty,price,cost_ratio,cost_dollars,notional,adv,adv_raw,sigma,cs_spread,half_spread,participation,impact,commission,slippage,cost_model,rt_equiv_cost_ratio,flag_participation_gt_20pct,flag_rt_equiv_gt_5pct,flag_one_way_gt_5pct
2022-11-08,HUDI,BUY,76632,18.25,0.07859946459918714,109924.02362375958,1398534.0,35262233.6885,35262233.6885,0.6510940895901433,0.0002,0.0001,0.039660958870455815,0.07779946459918713,0.0005,0.0002,corwin_schultz,0.15719892919837428,False,True,True
2022-11-04,HUDI,SELL,13205,79.98,0.09639017318653861,101801.12230952084,1056135.9000000001,27291475.060000002,27291475.060000002,0.598909769220749,0.05,0.025,0.03869838100278923,0.0706901731865386,0.0005,0.0002,corwin_schultz,0.19278034637307723,False,True,True
2022-05-25,IDAI,SELL,8646,142.5,0.07906222214194994,97409.00610110014,1232055.0,13949675.714969024,13949675.714969024,0.29926068395459476,0.05,0.025,0.08832140797924892,0.05336222214194993,0.0005,0.0002,corwin_schultz,0.15812444428389988,False,True,True
2022-05-03,IDAI,BUY,4844,226.5,0.07691957750071782,84393.54516815256,1097166.0,13716313.809080398,13716313.809080398,0.30183338706291113,0.05,0.025,0.07998985844678329,0.05121957750071781,0.0005,0.0002,corwin_schultz,0.15383915500143563,False,True,True
2022-11-08,PHUN,SELL,16878,72.75,0.04723710894554211,58001.24152795305,1227874.5,8186253.980000001,8186253.980000001,0.0926833604471293,0.05,0.025,0.1499922312451879,0.02153710894554211,0.0005,0.0002,corwin_schultz,0.09447421789108422,False,True,False
2024-04-02,TPST,SELL,33747,33.93,0.048562442961433916,55605.731355679985,1145035.71,7838387.83499811,7838387.83499811,0.09969542820938643,0.05,0.025,0.14608051223077506,0.022862442961433915,0.0005,0.0002,corwin_schultz,0.09712488592286783,False,True,False
2024-03-04,MLGO,SELL,249,3252.0,0.06292548604109113,50953.78647080146,809748.0,14757969.484974852,14757969.484974852,0.26486677798232366,0.05,0.025,0.05486852380501313,0.03722548604109113,0.0005,0.0002,corwin_schultz,0.12585097208218227,False,True,True
2026-05-28,QTTB,SELL,75331,11.52,0.05395889499827074,46826.23702020173,867813.12,15645218.622790564,15645218.622790564,0.1999777315325501,0.05,0.025,0.0554682641977177,0.028258894998270737,0.0005,0.0002,corwin_schultz,0.10791778999654147,False,True,True
2022-02-24,CLDX,SELL,51951,27.36,0.032653073339747554,46412.40448568344,1421379.3599999999,15960414.437,15960414.437,0.03883225757444133,0.05,0.025,0.0890565445910294,0.006953073339747556,0.0005,0.0002,corwin_schultz,0.06530614667949511,False,True,False
2022-12-14,ACET,BUY,6641,169.28,0.04058959198290781,45630.351715085315,1124188.48,16205605.1085,16205605.1085,0.10166778615854248,0.0476461633889045,0.02382308169445225,0.0693703488683895,0.01606651028845556,0.0005,0.0002,corwin_schultz,0.08117918396581562,False,True,False
2023-08-04,RMTI,SELL,26076,33.2,0.051866038635591104,44901.63293892757,865723.2000000001,7744422.2535,7744422.2535,0.1304342700271501,0.05,0.025,0.11178667325490249,0.026166038635591107,0.0005,0.0002,corwin_schultz,0.10373207727118221,False,True,True
2022-07-22,PHUN,SELL,11776,86.0,0.043906892885761044,44466.0910735541,1012736.0,6751857.403999999,6751857.403999999,0.07835164040776968,0.05,0.025,0.14999368905510732,0.018206892885761047,0.0005,0.0002,corwin_schultz,0.08781378577152209,False,True,False
2022-05-11,FULC,SELL,163530,7.52,0.035327609299487306,43443.97209456359,1229745.5999999999,10234566.067499999,10234566.067499999,0.04629075728705664,0.05,0.025,0.12015610548502623,0.009627609299487307,0.0005,0.0002,corwin_schultz,0.07065521859897461,False,True,False
2022-05-10,AOSL,BUY,35365,36.68,0.03328896903784476,43182.05782605757,1297188.2,20824077.007,20824077.007,0.05067723559520652,0.05,0.025,0.06229271047950653,0.007588969037844759,0.0005,0.0002,corwin_schultz,0.06657793807568951,False,True,False
2022-04-25,CLFD,SELL,22239,52.29,0.03550372587270173,41286.477237824794,1162877.31,7752666.9575000005,7752666.9575000005,0.04218893130801259,0.05,0.025,0.14999706763812704,0.009803725872701728,0.0005,0.0002,corwin_schultz,0.07100745174540346,False,True,False
2022-03-08,ACLS,SELL,21506,59.17,0.031661856795186315,40290.030023679676,1272510.02,36385015.554,36385015.554,0.053438731234587734,0.04993129697783674,0.02496564848891837,0.03497346368071309,0.005996208306267946,0.0005,0.0002,corwin_schultz,0.06332371359037263,False,True,False
2022-01-11,AOSL,SELL,28612,51.75,0.02595394536519561,38429.25423782955,1480671.0,35639896.518,35639896.518,0.05135906230119005,0.037945873058478276,0.018972936529239138,0.041545322648515105,0.006281008835956471,0.0005,0.0002,corwin_schultz,0.05190789073039122,False,True,False
2022-01-26,PHUN,BUY,13067,116.0,0.02502353200114753,37929.96914844339,1515772.0,57632249.4235,57632249.4235,0.08931410570140215,0.031265635957841584,0.015632817978920792,0.0263007606880243,0.00869071402222674,0.0005,0.0002,corwin_schultz,0.05004706400229506,False,True,False
2022-08-01,PHUN,SELL,12193,72.0,0.04273799617360644,37519.515888824404,877896.0,7069922.7465,7069922.7465,0.08058478749585508,0.05,0.025,0.12417335117764995,0.017037996173606438,0.0005,0.0002,corwin_schultz,0.08547599234721288,False,True,False
2025-08-29,NXTT,BUY,9203,72.0,0.05651263885135641,37446.17870513038,662616.0,9837248.58293,9837248.58293,0.19787161892858654,0.05,0.025,0.06735785869534684,0.030812638851356412,0.0005,0.0002,corwin_schultz,0.11302527770271283,False,True,True
