Date,Total_Equity
2022-01-03,50000000.0
2022-01-04,49330819.6616322
2022-01-05,47988573.8402322
2022-01-06,48140335.23917142
2022-01-07,47764151.01684392
2022-01-10,47873191.245754674
2022-01-11,48234486.21157867
2022-01-12,48153302.15498663
2022-01-13,47682572.00549829
2022-01-14,47556844.94049829
2022-01-18,46775650.57332311
2022-01-19,46383986.24099766
2022-01-20,46106736.36449768
2022-01-21,45780998.84619822
2022-01-24,46173931.392042145
2022-01-25,45677460.45172821
2022-01-26,45380519.55404827
2022-01-27,44703402.09145338
2022-01-28,45644637.63177535
2022-01-31,46788646.56402534
2022-02-01,46942062.995208874
2022-02-02,46836527.2150476
2022-02-03,46071430.18270377
2022-02-04,46318503.07860427
2022-02-07,46380131.844507895
2022-02-08,46980650.96981855
2022-02-09,47525917.495266065
2022-02-10,47162706.9772998
2022-02-11,46788574.21145889
2022-02-14,46737419.42295286
2022-02-15,47350068.05798794
2022-02-16,47257849.02403118
2022-02-17,46406974.9196866
2022-02-18,46126162.01124793
2022-02-22,45748062.19587802
2022-02-23,45122983.31942989
2022-02-24,45701566.18748809
2022-02-25,46115586.42899258
2022-02-28,46080598.11253984
2022-03-01,45644910.44969326
2022-03-02,46298241.32886122
2022-03-03,46049838.15767454
2022-03-04,45465719.30280007
2022-03-07,44880473.283436
2022-03-08,44960261.89205669
2022-03-09,46180214.14764632
2022-03-10,45790471.58988524
2022-03-11,45339154.56893519
2022-03-14,44926033.22906914
2022-03-15,45861024.353514045
2022-03-16,47403070.448732145
2022-03-17,47878375.10586874
2022-03-18,48542469.10738833
2022-03-21,48074816.724409126
2022-03-22,48724116.71422439
2022-03-23,48042394.38828705
2022-03-24,48233925.03413138
2022-03-25,48156123.72514486
2022-03-28,48335331.73960598
2022-03-29,48937985.03697722
2022-03-30,48407753.09361763
2022-03-31,48043331.26910494
2022-04-01,48032780.9029679
2022-04-04,48122460.459588334
2022-04-05,47495692.515343316
2022-04-06,47015257.31994502
2022-04-07,47012773.38191968
2022-04-08,46712275.0373247
2022-04-11,46442464.44865562
2022-04-12,46251976.06694567
2022-04-13,46587778.0074802
2022-04-14,46230426.44020735
2022-04-18,46203076.74202213
2022-04-19,46789503.50682342
2022-04-20,46385526.94603653
2022-04-21,45667721.87782739
2022-04-22,44862681.232017055
2022-04-25,45149896.361004785
2022-04-26,44206775.83514871
2022-04-27,44017970.005217284
2022-04-28,44554204.42047194
2022-04-29,43760086.119963646
2022-05-02,44178886.32478373
2022-05-03,44397332.83509301
2022-05-04,45197028.24407669
2022-05-05,44200197.817683555
2022-05-06,43555454.989912316
2022-05-09,42791038.32474159
2022-05-10,42495115.940544054
2022-05-11,41684063.64658912
2022-05-12,41987658.789790556
2022-05-13,43149976.98913279
2022-05-16,42852421.24270144
2022-05-17,43668529.27691528
2022-05-18,42433073.13022247
2022-05-19,42484136.9234197
2022-05-20,42607510.93991728
2022-05-23,42720023.39363398
2022-05-24,41950336.96562502
2022-05-25,42443227.03770676
2022-05-26,42991322.23083584
2022-05-27,43649347.784788325
2022-05-31,43406342.36574794
2022-06-01,43031333.35743016
2022-06-02,43729109.394308075
2022-06-03,43274939.8664075
2022-06-06,43388185.08388285
2022-06-07,43576069.32701731
2022-06-08,43134626.55852869
2022-06-09,42483109.71312553
2022-06-10,41893978.738150895
2022-06-13,40829270.68173739
2022-06-14,40884920.30544692
2022-06-15,41128297.361934096
2022-06-16,40091808.80274354
2022-06-17,40427333.39873475
2022-06-21,40781746.89698576
2022-06-22,40750880.210195154
2022-06-23,41257058.74961807
2022-06-24,42187492.62575344
