Date,Total_Equity
2022-01-03,50000000.0
2022-01-04,49419335.18412651
2022-01-05,48137122.44772652
2022-01-06,48396823.16024074
2022-01-07,48094230.18558574
2022-01-10,48172746.53110725
2022-01-11,48336990.72629805
2022-01-12,48383319.455393985
2022-01-13,48001989.870017305
2022-01-14,47914599.340017304
2022-01-18,47111385.73550686
2022-01-19,46623058.8030526
2022-01-20,46080980.37812089
2022-01-21,45680337.94952199
2022-01-24,46182127.75120983
2022-01-25,45570493.45364589
2022-01-26,45116802.684976265
2022-01-27,44578342.8273865
2022-01-28,45616348.10676324
2022-01-31,46735435.56086324
2022-02-01,46881587.08481024
2022-02-02,46699403.778310254
2022-02-03,45996430.25831025
2022-02-04,46252942.58331025
2022-02-07,46285362.04461783
2022-02-08,46845837.69749752
2022-02-09,47711775.607497506
2022-02-10,47067167.89749751
2022-02-11,46472123.98749751
2022-02-14,46408162.9499042
2022-02-15,47384200.13078012
2022-02-16,47439010.04623566
2022-02-17,46508361.53158101
2022-02-18,45998736.24717559
2022-02-22,45556307.794865154
2022-02-23,44990279.06643687
2022-02-24,45467918.090945214
2022-02-25,45801046.60638768
2022-02-28,45727549.83688769
2022-03-01,45312973.43638769
2022-03-02,45893432.828063875
2022-03-03,45528975.93786387
2022-03-04,44743673.00886388
2022-03-07,43872669.36396787
2022-03-08,43673928.3447111
2022-03-09,44319540.628391124
2022-03-10,44259185.26339112
2022-03-11,44030183.48338899
2022-03-14,43808011.97017629
2022-03-15,44357303.1281472
2022-03-16,45162980.12652006
2022-03-17,45485120.76202007
2022-03-18,45935519.00652006
2022-03-21,45651358.411520064
2022-03-22,45987269.647020064
2022-03-23,45349456.13752007
2022-03-24,45664527.577020064
2022-03-25,45464711.65246406
2022-03-28,45725459.05413887
2022-03-29,46394669.156377174
2022-03-30,45932210.52715767
2022-03-31,45659373.58165768
2022-04-01,45740608.32572167
2022-04-04,45928423.844717555
2022-04-05,45512597.282727554
2022-04-06,45213047.70956002
2022-04-07,45193907.61132142
2022-04-08,44811872.915080875
2022-04-11,44430163.43230601
2022-04-12,44374748.118735924
2022-04-13,44769356.15958962
2022-04-14,44381944.56344208
2022-04-18,44313497.60771408
2022-04-19,44655833.54201031
2022-04-20,44243899.42101031
2022-04-21,43683117.62654877
2022-04-22,42981878.157768026
2022-04-25,43082700.635027185
2022-04-26,42551448.84695151
2022-04-27,42611337.974161305
2022-04-28,43005613.13618386
2022-04-29,42243938.76365112
2022-05-02,42659133.15665012
2022-05-03,43135398.0920259
2022-05-04,44190393.56202589
2022-05-05,42979476.821112126
2022-05-06,42241090.74806419
2022-05-09,41227452.895054415
2022-05-10,41228573.98614457
2022-05-11,40511611.572083175
2022-05-12,40756077.56109517
2022-05-13,41749224.12437101
2022-05-16,41426442.24150272
2022-05-17,42183708.60070271
2022-05-18,41168216.30150271
2022-05-19,41223864.961502716
2022-05-20,41322090.1104867
2022-05-23,41467877.18800372
2022-05-24,40993378.31250372
2022-05-25,41549212.13114472
2022-05-26,42268508.94472006
2022-05-27,43137310.14472005
2022-05-31,42781498.01472005
2022-06-01,42580262.658720054
2022-06-02,43330404.41472006
2022-06-03,42844041.29779346
2022-06-06,43032927.76140928
2022-06-07,43208344.76140929
2022-06-08,42747592.69140929
2022-06-09,42175147.78192929
2022-06-10,41520901.3739966
2022-06-13,40325862.4221408
2022-06-14,40362577.693637304
2022-06-15,40529057.782729894
2022-06-16,39464999.2414144
2022-06-17,39824055.274340555
2022-06-21,40343105.77557334
2022-06-22,40142892.875573345
2022-06-23,40394016.27557334
2022-06-24,41106600.73507335
2022-06-27,41280085.011166215
2022-06-28,40624871.08888488
