Date,Total_Equity
2022-01-03,50000000.0
2022-01-04,49242304.139137894
2022-01-05,47840025.232737884
2022-01-06,47883847.31810211
2022-01-07,47434071.84810211
2022-01-10,47573635.96040211
2022-01-11,48131981.696859285
2022-01-12,47923284.85457927
2022-01-13,47363154.140979275
2022-01-14,47199090.54097928
2022-01-18,46439915.411139354
2022-01-19,46144913.678942725
2022-01-20,46132492.350874454
2022-01-21,45881659.74287446
2022-01-24,46165735.03287445
2022-01-25,45784427.449810535
2022-01-26,45644236.42312027
2022-01-27,44828461.35552026
2022-01-28,45672927.15678745
2022-01-31,46841857.56718744
2022-02-01,47002538.90560751
2022-02-02,46973848.7488075
2022-02-03,46146470.472004145
2022-02-04,46384078.76440415
2022-02-07,46474991.988404155
2022-02-08,47115655.90003616
2022-02-09,47339421.91471053
2022-02-10,47258335.78471053
2022-02-11,47105685.34471053
2022-02-14,47067370.01471053
2022-02-15,47315690.54588202
2022-02-16,47076063.542723656
2022-02-17,46305172.49022365
2022-02-18,46253763.213987656
2022-02-22,45940159.25648765
2022-02-23,45255879.963621154
2022-02-24,45935665.18151461
2022-02-25,46430784.469014615
2022-02-28,46434404.07151462
2022-03-01,45977552.12859221
2022-03-02,46704763.6625922
2022-03-03,46574138.960918546
2022-03-04,46194208.110918544
2022-03-07,45898964.14111854
2022-03-08,46261360.12942066
2022-03-09,48063964.580820665
2022-03-10,47340039.45407155
2022-03-11,46663187.7939274
2022-03-14,46056353.76306741
2022-03-15,47382616.39975515
2022-03-16,49671690.820551604
2022-03-17,50302362.50925161
2022-03-18,51183225.839951605
2022-03-21,50529433.16155161
2022-03-22,51496658.965802625
2022-03-23,50770446.02434957
2022-03-24,50836606.50534957
2022-03-25,50882616.42534957
2022-03-28,50979072.815349564
2022-03-29,51514138.18528443
2022-03-30,50915187.30345319
2022-03-31,50457870.620453194
2022-04-01,50354189.9483532
2022-04-04,50335458.08335319
2022-04-05,49479107.704068035
2022-04-06,48801562.099704295
2022-04-07,48817424.773267746
2022-04-08,48607950.35636775
2022-04-11,48462459.69451085
2022-04-12,48124075.16997039
2022-04-13,48393727.65921465
2022-04-14,48070970.63621465
2022-04-18,48088978.42621465
2022-04-19,48941650.281651445
2022-04-20,48548132.494651444
2022-04-21,47660484.27677
2022-04-22,46744557.56812802
2022-04-25,47235758.02042802
2022-04-26,45843191.51670721
2022-04-27,45381400.219935216
2022-04-28,46071657.78863592
2022-04-29,45245162.12863592
2022-05-02,45666170.93157992
2022-05-03,45607935.17926564
2022-05-04,46131807.58709282
2022-05-05,45367304.167092815
2022-05-06,44824842.73602277
2022-05-09,44329630.22644479
2022-05-10,43716660.855105475
2022-05-11,42807449.04681263
2022-05-12,43173382.05650695
2022-05-13,44513124.10650695
2022-05-16,44243512.89650695
2022-05-17,45120031.62289851
2022-05-18,43653010.17674138
2022-05-19,43699004.56573138
2022-05-20,43848910.35532903
2022-05-23,43925447.14532903
2022-05-24,42842197.46947736
2022-05-25,43266149.470110334
2022-05-26,43629243.195510335
2022-05-27,44059556.33091034
2022-05-31,43938077.20091034
2022-06-01,43378230.201939106
2022-06-02,44020832.861704
2022-06-03,43600648.950904004
2022-06-06,43636538.981704
2022-06-07,43836632.35357732
2022-06-08,43416016.148977324
2022-06-09,42685650.76713739
2022-06-10,42164397.45713739
2022-06-13,41235249.42713739
2022-06-14,41310042.58553785
2022-06-15,41631120.685537845
2022-06-16,40625431.60789248
2022-06-17,40936105.60289249
2022-06-21,41121869.13289249
2022-06-22,41263603.048929565
2022-06-23,42028291.70683193
2022-06-24,43178222.31683194
2022-06-27,42980805.75553194
2022-06-28,42155639.56899057
2022-06-29,41684262.95159057
2022-06-30,41120683.227457955
2022-07-01,41287547.77745795
2022-07-05,41581498.19185796
2022-07-06,41316673.01839873
2022-07-07,42196615.11879873
2022-07-08,42127011.35827679
2022-07-11,41846354.08998037
2022-07-12,41695957.83888832
2022-07-13,41690811.69388832
2022-07-14,41550724.58499062
2022-07-15,42170376.74499062
2022-07-18,42352001.37499061
2022-07-19,43394583.13667687
2022-07-20,43934193.54167687
2022-07-21,43956807.68536635
2022-07-22,43803168.75536634
2022-07-25,43875037.67536634
2022-07-26,43785825.962041534
2022-07-27,44123609.984311044
2022-07-28,44208815.75359976
2022-07-29,44343584.073599756
2022-08-01,44424273.59359976
2022-08-02,44395930.95410371
2022-08-03,44637187.07121128
2022-08-04,44551342.14921129
2022-08-05,45052154.46921128
2022-08-08,45566944.39721128
2022-08-09,44798282.66824849
2022-08-10,45585283.552702755
2022-08-11,45476906.77870276
2022-08-12,45722293.63870275
2022-08-15,45696890.93670276
2022-08-16,45555532.427706614
2022-08-17,45138407.78613271
